pres_id,r1,r2,nodes_explored,path_length
180,YYYXyyx,YXXYx,55,10
181,YYYYX,YYYXyyx,6,5
182,YYYXyyx,YYXYxx,44,12
183,YYYXyyx,YXYxYx,108,13
184,YYYXyyx,YXYxyx,33,8
185,YYYXyyx,YXyXyx,23,8
186,YYYXyyx,YXYXyx,10,8
187,YYYXyyx,YYXXyx,8,7
188,YYYXyyx,YYxxYX,8,7
189,YYYXyyx,YYxxyX,5,4
190,YYYYYx,YYYXyyx,7,6
191,YYYXyyx,YXyxYx,9,8
192,YYYXyyx,YXyXYx,31,8
193,YYYXyyx,YYXyxx,8,7
194,YYYXyyx,YYXXYx,53,12
195,YYYXyyx,YYxyXX,5,4
196,YYYXyyx,YYxYXX,8,7
197,YYYXyyx,YXYxyX,23,8
198,YYYXyyx,YXYXYx,79,13
199,YYYYYX,YYYXyyx,7,6
200,YYYXYxx,YYYXyyx,6,5
201,YYYXyyx,YYXYxYx,61,15
202,YYYXyyx,YYXYxyx,25,9
203,YYYXyyx,YYxYXYx,116,16
204,YYYXyyx,YYXyxyX,9,8
205,YYYXyyx,YYxyXYx,33,11
206,YYYXyyx,YYXyxYX,21,8
207,YYYXyyx,YYXyXyx,11,8
208,YYYXyyx,YYXYXyx,24,8
209,YYYXXyx,YYYXyyx,5,4
210,YYYXyyx,YYXYYxx,9,7
211,YYYXyyx,YYxYxYX,8,7
212,YYYXyyx,YYxyxYX,6,5
213,YYYXyyx,YYxYxyX,6,5
214,YYYXyyx,YYxyxyX,4,3
215,YYYXyyx,YYXXyyx,5,4
216,YYYXyyx,YYYxxYX,121,18
217,YYYXyyx,YYYxxyX,57,13
218,YYYYYYx,YYYXyyx,8,7
219,YYYXyyx,YYxYXyx,34,8
220,YYYXyyx,YYxyXyx,11,8
221,YYYXyyx,YYXyxYx,24,8
222,YYYXyyx,YYXyXYx,25,9
223,YYYXyyx,YYxyXyX,4,3
224,YYYXyyx,YYxYXyX,6,5
225,YYYXyxx,YYYXyyx,5,4
226,YYYXXYx,YYYXyyx,6,5
227,YYYXyyx,YYXyyxx,5,4
228,YYYXyyx,YYXXYYx,9,7
229,YYYXyyx,YYYxyXX,66,13
230,YYYXyyx,YYYxYXX,109,18
231,YYYXyyx,YYXyxyx,10,8
232,YYYXyyx,YYXYxyX,42,11
233,YYYXyyx,YYXYxYX,102,16
234,YYYXyyx,YYXYXYx,70,15
235,YYYXyyx,YYxyXYX,6,5
236,YYYXyyx,YYxYXYX,8,7
237,YYYYYYX,YYYXyyx,8,7
238,YYYYXYxx,YYYXyyx,118,17
239,YYYXYxYx,YYYXyyx,7,6
240,YYYXYxyx,YYYXyyx,5,4
241,YYYXyyx,YYXYxYYx,65,18
242,YYYXyyx,YYXYxyyx,9,8
243,YYYXyyx,YYYxYXYx,121,19
244,YYYXyxyX,YYYXyyx,9,8
245,YYYXyyx,YYYxyXYx,61,14
246,YYYXyxYX,YYYXyyx,56,11
247,YYYXyyx,YYXyyXyx,46,9
248,YYYXyyx,YYXYYXyx,31,10
249,YYYXyXyx,YYYXyyx,4,3
250,YYYXYXyx,YYYXyyx,5,4
251,YYYYXXyx,YYYXyyx,33,9
252,YYYXyyx,YYxxxYXX,121,19
253,YYYXyyx,YYxxxyXX,58,14
254,YYYXYYxx,YYYXyyx,7,6
255,YYYXyyx,YYXYYxYx,9,8
256,YYYXyyx,YYXYYxyx,7,6
257,YYYXyyx,YYxYXYYx,9,8
258,YYYXyyx,YYXyyxyX,5,4
259,YYYXyyx,YYxYYxyX,7,6
260,YYYXyyx,YYXyyxYX,4,3
261,YYYXyyx,YYXyXyyx,5,4
262,YYYXyyx,YYXYXyyx,4,3
263,YYYXXyyx,YYYXyyx,4,3
264,YYYXyyx,YYYxxYYX,69,20
265,YYYXyyx,YYYxYxYX,121,21
266,YYYXyyx,YYYxyxYX,111,15
267,YYYXyyx,YYYxYxyX,61,16
268,YYYXyyx,YYYxyxyX,26,10
269,YYYXyyx,YYYxxyyX,69,11
270,YYYYxxYX,YYYXyyx,11,10
271,YYYYxxyX,YYYXyyx,10,8
272,YYYYYYYx,YYYXyyx,9,8
273,YYYXyyx,YYYxYXyx,69,11
274,YYYXyyx,YYYxyXyx,9,8
275,YYYXyyx,YYXyxYYx,26,10
276,YYYXyyx,YYXyyXYx,9,8
277,YYYXyyx,YYxYXyyx,4,3
278,YYYXyyx,YYxYXyyX,5,4
279,YYYXyxYx,YYYXyyx,5,4
280,YYYXyXYx,YYYXyyx,5,4
281,YYYXyyx,YYXyyxYx,4,3
282,YYYXyyx,YYXyXYYx,7,6
283,YYYXyyx,YYYxyXyX,31,10
284,YYYXyyx,YYYxYXyX,99,15
285,YYYXyyx,YYxxyXXX,67,14
286,YYYXyyx,YYxxYXXX,109,19
287,YYYYXyxx,YYYXyyx,46,9
288,YYYYXXYx,YYYXyyx,106,17
289,YYYXyyx,YYYXyyxx,4,3
290,YYYXXYYx,YYYXyyx,7,6
291,YYYXyyx,YYYxyyXX,56,11
292,YYYXyyx,YYYxYYXX,78,20
293,YYYYxyXX,YYYXyyx,10,8
294,YYYYxYXX,YYYXyyx,11,10
295,YYYXyxyx,YYYXyyx,4,3
296,YYYXyyx,YYXYxyyX,33,9
297,YYYXYxyX,YYYXyyx,70,14
298,YYYXYxYX,YYYXyyx,109,19
299,YYYXyyx,YYXYYXYx,72,18
300,YYYXYXYx,YYYXyyx,7,6
301,YYYXyyx,YYXyyxyx,5,4
302,YYYXyyx,YYXYXYYx,9,8
303,YYYXyyx,YYYxyXYX,70,16
304,YYYXyyx,YYYxYXYX,109,21
305,YYYXyyx,YYXYYxyX,7,6
306,YYYXyyx,YYXYYxYX,9,8
307,YYYYYYYX,YYYXyyx,9,8
308,YYYYXyyyx,Yx,3,2
309,YYYYXyyyx,YX,3,2
310,YYYYXyyyx,YYx,4,3
311,YYYYXyyyx,YYX,4,3
312,YYYYXyyyx,YYYx,5,4
313,YYYYXyyyx,YYYX,5,4
314,YYYYXyyyx,YXXyx,22,15
315,YYYYXyyyx,YYYYx,6,5
316,YYYYXyyyx,YXyxx,22,17
317,YYYYX,YYYYXyyyx,6,5
318,YYYYXyyyx,YYXYxx,51,10
319,YYYYXyyyx,YXyXyx,105,22
320,YYYYXyyyx,YXYXyx,72,17
321,YYYYXyyyx,YYXXyx,10,8
322,YYYYXyyyx,YYxxYX,274,29
323,YYYYYx,YYYYXyyyx,7,6
324,YYYYXyyyx,YXyxYx,100,19
325,YYYYXyyyx,YYXyxx,9,8
326,YYYYXyyyx,YYXXYx,31,10
327,YYYYXyyyx,YYxYXX,273,29
328,YYYYXyyyx,YXYxyX,106,22
329,YYYYYX,YYYYXyyyx,7,6
330,YYYYXyyyx,YYYXYxx,381,38
331,YYYYXyyyx,YYXYxYx,93,24
332,YYYYXyyyx,YYXYxyx,22,9
333,YYYYXyyyx,YYxyXYx,313,35
334,YYYYXyyyx,YYXyxYX,94,24
335,YYYYXyyyx,YYXyXyx,9,8
336,YYYYXyyyx,YYXYXyx,25,9
337,YYYYXyyyx,YYXYYxx,67,18
338,YYYYXyyyx,YYxYxYX,324,32
339,YYYYXyyyx,YYxyxYX,175,26
340,YYYYXyyyx,YYXXyyx,9,8
341,YYYYXyyyx,YYYxxYX,9,8
342,YYYYXyyyx,YYYxxyX,6,5
343,YYYYYYx,YYYYXyyyx,8,7
344,YYYYXyyyx,YYxYXyx,98,24
345,YYYYXyyyx,YYXyxYx,26,9
346,YYYYXyyyx,YYXyXYx,22,9
347,YYYYXyyyx,YYxYXyX,171,26
348,YYYYXyyyx,YYYXXYx,297,32
349,YYYYXyyyx,YYXyyxx,10,8
350,YYYYXyyyx,YYXXYYx,75,18
351,YYYYXyyyx,YYYxyXX,6,5
352,YYYYXyyyx,YYYxYXX,9,8
353,YYYYXyyyx,YYXyxyx,9,8
354,YYYYXyyyx,YYXYxyX,224,29
355,YYYYXyyyx,YYXYXYx,90,24
356,YYYYXyyyx,YYxYXYX,323,32
357,YYYYYYX,YYYYXyyyx,8,7
358,YYYYXYxx,YYYYXyyyx,7,6
359,YYYYXyyyx,YYYXYxyx,320,35
360,YYYYXyyyx,YYXYxYYx,278,32
361,YYYYXyyyx,YYXYxyyx,9,8
362,YYYYXyyyx,YYYxyXYx,380,37
363,YYYYXyyyx,YYYXyxYX,178,27
364,YYYYXyyyx,YYXyyXyx,22,9
365,YYYYXyyyx,YYXYYXyx,28,13
366,YYYYXXyx,YYYYXyyyx,6,5
367,YYYYXyyyx,YYXYYxYx,83,21
368,YYYYXyyyx,YYXYYxyx,39,15
369,YYYYXyyyx,YYxYXYYx,361,35
370,YYYYXyyyx,YYXyyxyX,124,23
371,YYYYXyyyx,YYXyXyyx,26,9
372,YYYYXyyyx,YYXYXyyx,9,8
373,YYYYXyyyx,YYYXXyyx,23,17
374,YYYYXyyyx,YYYxxYYX,10,9
375,YYYYXyyyx,YYYxYxYX,10,9
376,YYYYXyyyx,YYYxyxYX,8,7
377,YYYYXyyyx,YYYxYxyX,7,6
378,YYYYXyyyx,YYYxyxyX,5,4
379,YYYYXyyyx,YYYxxyyX,6,5
380,YYYYXyyyx,YYYYxxyX,381,39
381,YYYYYYYx,YYYYXyyyx,9,8
382,YYYYXyyyx,YYYxYXyx,177,27
383,YYYYXyyyx,YYXyxYYx,29,13
384,YYYYXyyyx,YYXyyXYx,9,8
385,YYYYXyyyx,YYxYXyyX,95,24
386,YYYYXyyyx,YYYXyXYx,231,29
387,YYYYXyyyx,YYXyyxYx,9,8
388,YYYYXyyyx,YYXyXYYx,47,15
389,YYYYXyyyx,YYYxyXyX,5,4
390,YYYYXyyyx,YYYxYXyX,8,7
391,YYYYXyxx,YYYYXyyyx,6,5
392,YYYYXXYx,YYYYXyyyx,7,6
393,YYYYXyyyx,YYYXyyxx,23,15
394,YYYYXyyyx,YYYxyyXX,6,5
395,YYYYXyyyx,YYYxYYXX,10,9
396,YYYYXyyyx,YYYYxyXX,296,33
397,YYYYXyyyx,YYXYxyyX,22,9
398,YYYYXyyyx,YYYXYxyX,293,31
399,YYYYXyyyx,YYXYYXYx,224,29
400,YYYYXyyyx,YYXyyxyx,25,9
401,YYYYXyyyx,YYXYXYYx,92,21
402,YYYYXyyyx,YYYxyXYX,7,6
403,YYYYXyyyx,YYYxYXYX,10,9
404,YYYYXyyyx,YYXYYxYX,334,35
405,YYYYYYYX,YYYYXyyyx,9,8
406,YYYYYXyyyyx,Yx,3,2
407,YYYYYXyyyyx,YX,3,2
408,YYYYYXyyyyx,YYx,4,3
409,YYYYYXyyyyx,YYX,4,3
410,YYYYYXyyyyx,YYYx,5,4
411,YYYYYXyyyyx,YYYX,5,4
412,YYYYYXyyyyx,YXXyx,109,41
413,YYYYYXyyyyx,YYYYx,6,5
414,YYYYYXyyyyx,YXyxx,122,43
415,YYYYYXyyyyx,YYYYX,6,5
416,YYYYYXyyyyx,YXyXyx,485,52
417,YYYYYXyyyyx,YXYXyx,299,47
418,YYYYYXyyyyx,YYxxyX,64,15
419,YYYYYXyyyyx,YYYYYx,7,6
420,YYYYYXyyyyx,YXyxYx,295,47
421,YYYYYXyyyyx,YYxyXX,62,15
422,YYYYYXyyyyx,YXYxyX,490,52
423,YYYYYX,YYYYYXyyyyx,7,6
424,YYYYYXyyyyx,YYXyxYX,228,54
425,YYYYYXyyyyx,YYXYYxx,315,21
426,YYYYYXyyyyx,YYxyxYX,183,20
427,YYYYYXyyyyx,YYxYxyX,205,22
428,YYYYYXyyyyx,YYxyxyX,16,12
429,YYYYYXyyyyx,YYXXyyx,10,9
430,YYYYYYx,YYYYYXyyyyx,8,7
431,YYYYYXyyyyx,YYxYXyx,230,54
432,YYYYYXyyyyx,YYxyXyX,16,12
433,YYYYYXyyyyx,YYxYXyX,188,20
434,YYYYYXyyyyx,YYXyyxx,10,9
435,YYYYYXyyyyx,YYXXYYx,322,21
436,YYYYYXyyyyx,YYxyXYX,213,22
437,YYYYYYX,YYYYYXyyyyx,8,7
438,YYYYYXyyyyx,YYYXYYxx,188,27
439,YYYYYXyyyyx,YYXYYxyx,111,19
440,YYYYYXyyyyx,YYXyyxyX,77,17
441,YYYYYXyyyyx,YYXyyxYX,13,12
442,YYYYYXyyyyx,YYXyXyyx,22,10
443,YYYYYXyyyyx,YYXYXyyx,11,9
444,YYYYYXyyyyx,YYYXXyyx,10,9
445,YYYYYXyyyyx,YYYYxxYX,10,9
446,YYYYYXyyyyx,YYYYxxyX,7,6
447,YYYYYYYx,YYYYYXyyyyx,9,8
448,YYYYYXyyyyx,YYxYXyyx,13,12
449,YYYYYXyyyyx,YYxYXyyX,77,17
450,YYYYYXyyyyx,YYXyyxYx,13,11
451,YYYYYXyyyyx,YYXyXYYx,118,19
452,YYYYYXyyyyx,YYYXyyxx,10,9
453,YYYYYXyyyyx,YYYXXYYx,204,23
454,YYYYYXyyyyx,YYYYxyXX,7,6
455,YYYYYXyyyyx,YYYYxYXX,10,9
456,YYYYYXyyyyx,YYXyyxyx,22,10
457,YYYYYYYX,YYYYYXyyyyx,9,8
458,YYYYYYXyyyyyx,Yx,3,2
459,YYYYYYXyyyyyx,YX,3,2
460,YYYYYYXyyyyyx,YYx,4,3
461,YYYYYYXyyyyyx,YYX,4,3
462,YYYYYYXyyyyyx,YYYx,5,4
463,YYYYYYXyyyyyx,YYYX,5,4
464,YYYYYYXyyyyyx,YXXyx,592,99
465,YYYYYYXyyyyyx,YYYYx,6,5
466,YYYYYYXyyyyyx,YXyxx,614,101
467,YYYYYYXyyyyyx,YYYYX,6,5
468,YYYYYYXyyyyyx,YYYYYx,7,6
469,YYYYYYXyyyyyx,YYYYYX,7,6
470,YYYYYYXyyyyyx,YYYXYxx,208,23
471,YYYYYYXyyyyyx,YYYXXyx,57,15
472,YYYYYYXyyyyyx,YYXXyyx,26,17
473,YYYYYYXyyyyyx,YYYYYYx,8,7
474,YYYYYYXyyyyyx,YYYXyxx,57,15
475,YYYYYYXyyyyyx,YYYXXYx,215,23
476,YYYYYYXyyyyyx,YYXyyxx,26,18
477,YYYYYYX,YYYYYYXyyyyyx,8,7
478,YYYYYYXyyyyyx,YYYXYxyx,156,20
479,YYYYYYXyyyyyx,YYYXyXyx,13,12
480,YYYYYYXyyyyyx,YYYXYXyx,167,20
481,YYYYYYXyyyyyx,YYXyXyyx,125,28
482,YYYYYYXyyyyyx,YYXYXyyx,103,22
483,YYYYYYXyyyyyx,YYYXXyyx,12,10
484,YYYYYYYx,YYYYYYXyyyyyx,9,8
485,YYYYYYXyyyyyx,YYYXyxYx,156,20
486,YYYYYYXyyyyyx,YYYXyXYx,156,20
487,YYYYYYXyyyyyx,YYXyyxYx,104,22
488,YYYYYYXyyyyyx,YYYXyyxx,14,12
489,YYYYYYXyyyyyx,YYYXXYYx,186,26
490,YYYYYYXyyyyyx,YYYXyxyx,13,12
491,YYYYYYXyyyyyx,YYXyyxyx,126,28
492,YYYYYYYX,YYYYYYXyyyyyx,9,8
493,YYYYYYYXyyyyyyx,Yx,3,2
494,YYYYYYYXyyyyyyx,YX,3,2
495,YYYYYYYXyyyyyyx,YYx,4,3
496,YYYYYYYXyyyyyyx,YYX,4,3
497,YYYYYYYXyyyyyyx,YYYx,5,4
498,YYYYYYYXyyyyyyx,YYYX,5,4
499,YYYYYYYXyyyyyyx,YYYYx,6,5
500,YYYYYYYXyyyyyyx,YYYYX,6,5
501,YYYYYYYXyyyyyyx,YYYYYx,7,6
502,YYYYYYYXyyyyyyx,YYYYYX,7,6
503,YYYYYYYXyyyyyyx,YYXXyyx,33,21
504,YYYYYYYXyyyyyyx,YYYYYYx,8,7
505,YYYYYYYXyyyyyyx,YYXyyxx,34,23
506,YYYYYYYXyyyyyyx,YYYYYYX,8,7
507,YYYYYYYXyyyyyyx,YYXyXyyx,141,36
508,YYYYYYYXyyyyyyx,YYXYXyyx,116,29
509,YYYYYYYXyyyyyyx,YYYxyxyX,135,32
510,YYYYYYYXyyyyyyx,YYYxxyyX,50,17
511,YYYYYYYXyyyyyyx,YYYYYYYx,9,8
512,YYYYYYYXyyyyyyx,YYXyyxYx,117,29
513,YYYYYYYXyyyyyyx,YYYxyXyX,132,32
514,YYYYYYYXyyyyyyx,YYYxyyXX,48,17
515,YYYYYYYXyyyyyyx,YYXyyxyx,140,36
516,YYYYYYYX,YYYYYYYXyyyyyyx,9,8
517,YYYYYYYYXyyyyyyyx,Yx,3,2
518,YYYYYYYYXyyyyyyyx,YX,3,2
519,YYYYYYYYXyyyyyyyx,YYx,4,3
520,YYYYYYYYXyyyyyyyx,YYX,4,3
521,YYYYYYYYXyyyyyyyx,YYYx,5,4
522,YYYYYYYYXyyyyyyyx,YYYX,5,4
523,YYYYYYYYXyyyyyyyx,YYYYx,6,5
524,YYYYYYYYXyyyyyyyx,YYYYX,6,5
525,YYYYYYYYXyyyyyyyx,YYYYYx,7,6
526,YYYYYYYYXyyyyyyyx,YYYYYX,7,6
527,YYYYYYYYXyyyyyyyx,YYXXyyx,430,49
528,YYYYYYYYXyyyyyyyx,YYYYYYx,8,7
529,YYYYYYYYXyyyyyyyx,YYXyyxx,414,51
530,YYYYYYYYXyyyyyyyx,YYYYYYX,8,7
531,YYYYYYYYXyyyyyyyx,YYYYYYYx,9,8
532,YYYYYYYYXyyyyyyyx,YYYYYYYX,9,8
533,YYYYXyyyx,YYYXYxYx,438,43
534,YYYYXyyyx,YYYXYXYx,350,37
535,YYYYYXyyyyx,YYxxYX,641,25
536,YYYYYXyyyyx,YYxYXX,629,23
537,YYYYYXyyyyx,YYxyXYx,579,73
538,YYYYYXyyyyx,YYxYxYX,2261,25
539,YYYYYXyyyyx,YYYxxYX,1386,76
540,YYYYYXyyyyx,YYYxYXX,1322,76
541,YYYYYXyyyyx,YYXYxyX,474,67
542,YYYYYXyyyyx,YYxYXYX,2271,25
543,YYYYYXyyyyx,YYYYXYxx,1813,81
544,YYYYYXyyyyx,YYYxyXYx,1569,75
545,YYYYYXyyyyx,YYYXyxYX,914,69
546,YYYYYXyyyyx,YYXYYxYx,398,24
547,YYYYYXyyyyx,YYxYXYYx,3848,28
548,YYYYYXyyyyx,YYxYYxyX,661,28
549,YYYYYXyyyyx,YYYxYxYX,1411,79
550,YYYYYXyyyyx,YYYxyxYX,1191,71
551,YYYYYXyyyyx,YYYxYXyx,990,69
552,YYYYYXyyyyx,YYYxYXyX,1115,71
553,YYYYYXyyyyx,YYYYXXYx,1708,75
554,YYYYYXyyyyx,YYYXYxyX,1464,69
555,YYYYYXyyyyx,YYXYXYYx,406,24
556,YYYYYXyyyyx,YYYxYXYX,1337,79
557,YYYYYXyyyyx,YYXYYxyX,489,27
558,YYYYYXyyyyx,YYXYYxYX,2611,28
559,YYYYYYXyyyyyx,YXyXyx,1934,116
560,YYYYYYXyyyyyx,YXYXyx,1450,109
561,YYYYYYXyyyyyx,YYXXyx,6791,44
562,YYYYYYXyyyyyx,YXyxYx,1436,109
563,YYYYYYXyyyyyx,YYXyxx,6927,45
564,YYYYYYXyyyyyx,YXYxyX,1934,116
565,YYYYYYXyyyyyx,YYxyXYx,1404,145
566,YYYYYYXyyyyyx,YYXyxYX,1446,134
567,YYYYYYXyyyyyx,YYXyXyx,3402,41
568,YYYYYYXyyyyyx,YYXYXyx,15814,48
569,YYYYYYXyyyyyx,YYxYXyx,1442,134
570,YYYYYYXyyyyyx,YYXyxYx,15935,49
571,YYYYYYXyyyyyx,YYXyxyx,3536,40
572,YYYYYYXyyyyyx,YYXYxyX,1319,139
573,YYYYYYXyyyyyx,YYYYXYxx,13393,63
574,YYYYYYXyyyyyx,YYYXYxYx,526,38
575,YYYYYYXyyyyyx,YYYxyXYx,14383,156
576,YYYYYYXyyyyyx,YYYXyxYX,7029,141
577,YYYYYYXyyyyyx,YYXyyXyx,5957,52
578,YYYYYYXyyyyyx,YYXYYXyx,15873,50
579,YYYYYYXyyyyyx,YYYXYYxx,366,26
580,YYYYYYXyyyyyx,YYYxxYYX,875,47
581,YYYYYYXyyyyyx,YYYYxxYX,9567,153
582,YYYYYYXyyyyyx,YYYxYXyx,7442,141
583,YYYYYYXyyyyyx,YYXyxYYx,16111,52
584,YYYYYYXyyyyyx,YYYYXXYx,13591,62
585,YYYYYYXyyyyyx,YYYxYYXX,869,47
586,YYYYYYXyyyyyx,YYYYxYXX,9162,153
587,YYYYYYXyyyyyx,YYXYxyyX,6070,51
588,YYYYYYXyyyyyx,YYYXYxyX,14054,150
589,YYYYYYXyyyyyx,YYYXYXYx,558,46
